query_id,recall_exact,recall_pq,recall_candidate_oracle,recall_all16,recall_exact_oracle,delta_exact_control,total_loss,discovery_loss,ranking_loss,exact_l0_count,pq_l0_count,coverage_exact,coverage_pq,top16_boundary_tie
139,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.40000000000000002,0,0,0,0,739,744,0.40000000000000002,0.40000000000000002,0
140,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,433,423,1,1,0
141,1,0.80000000000000004,1,1,1,0,0.19999999999999996,0,0.19999999999999996,874,765,1,1,0
142,1,1,1,1,1,0,0,0,0,447,491,1,1,0
143,1,0.80000000000000004,1,1,1,0,0.19999999999999996,0,0.19999999999999996,545,531,1,1,0
144,0,0,0,0,0,0,0,0,0,660,622,0,0,0
145,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,849,844,0.90000000000000002,0.90000000000000002,0
146,1,1,1,1,1,0,0,0,0,736,742,1,1,0
147,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,639,635,0.90000000000000002,0.90000000000000002,0
148,1,1,1,1,1,0,0,0,0,567,627,1,1,0
149,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,869,594,1,1,0
150,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,486,478,0.90000000000000002,0.90000000000000002,0
151,0.69999999999999996,0.59999999999999998,0.69999999999999996,0.69999999999999996,0.69999999999999996,0,0.099999999999999978,0,0.099999999999999978,875,890,0.69999999999999996,0.69999999999999996,0
152,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,498,504,0.80000000000000004,0.80000000000000004,0
153,0.5,0.5,0.5,0.5,0.5,0,0,0,0,814,812,0.5,0.5,0
154,1,0.5,0.5,0.5,1,0,0.5,0.5,0,788,659,1,0.5,0
155,1,0.69999999999999996,1,1,1,0,0.30000000000000004,0,0.30000000000000004,737,742,1,1,0
156,0.90000000000000002,0.69999999999999996,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0.20000000000000007,0,0.20000000000000007,824,817,0.90000000000000002,0.90000000000000002,0
157,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,723,688,0.90000000000000002,0.90000000000000002,0
158,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,849,837,1,1,0
159,1,0.90000000000000002,0.90000000000000002,0.90000000000000002,1,0,0.099999999999999978,0.099999999999999978,0,710,716,1,0.90000000000000002,0
160,1,0.69999999999999996,0.69999999999999996,0.69999999999999996,1,0,0.30000000000000004,0.30000000000000004,0,783,931,1,0.69999999999999996,0
161,0.90000000000000002,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.90000000000000002,0,0.099999999999999978,0.099999999999999978,0,762,753,0.90000000000000002,0.80000000000000004,0
162,1,1,1,1,1,0,0,0,0,517,521,1,1,0
163,0.90000000000000002,0.69999999999999996,0.80000000000000004,0.80000000000000004,0.90000000000000002,0,0.20000000000000007,0.099999999999999978,0.10000000000000009,711,710,0.90000000000000002,0.80000000000000004,0
