stratum,category,descriptor,queries,mean,median,p90,p95,p99,min,max
oracle1,Usually harmful,local_distance_concentration,2857,0.8766360047009448,0.4144497472003024,1.7345010072180609,3.2089714189074847,8.059386643114008,0.10477816294180152,44.199887387387385
oracle1,Persistently harmful,local_distance_concentration,3283,0.7212357278552171,0.3561834561834562,1.233793938220447,2.41552380970606,7.377225414609533,0.0685879044399625,28.097902097902097
oracle1,Robust,candidate_count,161,909.6024844720497,955.0,1198.0,1239.0,1281.0,287.0,1294.0
oracle1,Occasionally harmful,candidate_count,835,963.088622754491,1004.0,1221.0,1277.0,1362.8599999999992,266.0,1555.0
oracle1,Usually harmful,candidate_count,2857,998.5635281764088,1035.0,1246.0,1295.1999999999998,1397.88,302.0,1563.0
oracle1,Persistently harmful,candidate_count,3283,984.9022235759976,1029.0,1249.0,1301.8999999999996,1400.5399999999995,247.0,1722.0
oracle1,Robust,oracle_recall,161,1.0,1.0,1.0,1.0,1.0,1.0,1.0
oracle1,Occasionally harmful,oracle_recall,835,1.0,1.0,1.0,1.0,1.0,1.0,1.0
oracle1,Usually harmful,oracle_recall,2857,1.0,1.0,1.0,1.0,1.0,1.0,1.0
oracle1,Persistently harmful,oracle_recall,3283,1.0,1.0,1.0,1.0,1.0,1.0,1.0
