query_id,recall_exact,recall_pq,recall_candidate_oracle,recall_all16,recall_exact_oracle,delta_exact_control,total_loss,discovery_loss,ranking_loss,exact_l0_count,pq_l0_count,coverage_exact,coverage_pq,top16_boundary_tie
3122,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,774,815,0.80000000000000004,0.80000000000000004,0
3123,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,750,748,0.90000000000000002,0.90000000000000002,0
3124,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,1004,1056,0.90000000000000002,0.90000000000000002,0
3125,1,1,1,1,1,0,0,0,0,728,681,1,1,0
3126,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,796,752,0.80000000000000004,0.80000000000000004,0
3127,1,1,1,1,1,0,0,0,0,498,498,1,1,0
3128,1,1,1,1,1,0,0,0,0,726,686,1,1,0
3129,1,1,1,1,1,0,0,0,0,606,509,1,1,0
3130,0.80000000000000004,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.80000000000000004,0,-0.099999999999999978,-0.099999999999999978,0,643,695,0.80000000000000004,0.90000000000000002,0
3131,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,748,704,0.90000000000000002,0.90000000000000002,0
3132,1,1,1,1,1,0,0,0,0,444,414,1,1,0
3133,1,1,1,1,1,0,0,0,0,560,561,1,1,0
3134,1,1,1,1,1,0,0,0,0,563,567,1,1,0
3135,1,1,1,1,1,0,0,0,0,545,532,1,1,0
3136,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0,0,0,0,680,666,0.69999999999999996,0.69999999999999996,0
3137,1,1,1,1,1,0,0,0,0,642,698,1,1,0
3138,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,685,664,1,1,0
3139,1,1,1,1,1,0,0,0,0,734,711,1,1,0
3140,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,386,386,0.90000000000000002,0.90000000000000002,0
3141,1,0.80000000000000004,0.80000000000000004,0.80000000000000004,1,0,0.19999999999999996,0.19999999999999996,0,943,938,1,0.80000000000000004,0
3142,1,1,1,1,1,0,0,0,0,653,657,1,1,0
3143,1,1,1,1,1,0,0,0,0,575,586,1,1,0
3144,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,901,928,0.80000000000000004,0.80000000000000004,0
3145,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,871,787,0.90000000000000002,0.90000000000000002,0
3146,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,936,947,1,1,0
3147,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,487,464,1,1,0
3148,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,306,302,1,1,0
3149,1,1,1,1,1,0,0,0,0,561,584,1,1,0
3150,1,1,1,1,1,0,0,0,0,502,516,1,1,0
3151,1,1,1,1,1,0,0,0,0,639,639,1,1,0
3152,1,1,1,1,1,0,0,0,0,616,507,1,1,0
3153,1,1,1,1,1,0,0,0,0,626,636,1,1,0
3154,1,1,1,1,1,0,0,0,0,571,571,1,1,0
3155,1,1,1,1,1,0,0,0,0,404,406,1,1,0
3156,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0,0,0,0,922,902,0.69999999999999996,0.69999999999999996,0
3157,1,1,1,1,1,0,0,0,0,758,817,1,1,0
3158,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,526,622,1,1,0
3159,1,1,1,1,1,0,0,0,0,746,721,1,1,0
3160,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.40000000000000002,0,0,0,0,640,633,0.40000000000000002,0.40000000000000002,0
3161,1,1,1,1,1,0,0,0,0,327,330,1,1,0
3162,1,1,1,1,1,0,0,0,0,707,707,1,1,0
3163,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,494,495,1,1,0
3164,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,616,605,0.80000000000000004,0.80000000000000004,0
3165,1,1,1,1,1,0,0,0,0,508,620,1,1,0
3166,1,1,1,1,1,0,0,0,0,529,489,1,1,0
3167,1,1,1,1,1,0,0,0,0,616,597,1,1,0
3168,1,1,1,1,1,0,0,0,0,774,746,1,1,0
3169,1,1,1,1,1,0,0,0,0,473,473,1,1,0
3170,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,673,646,0.90000000000000002,0.90000000000000002,0
3171,1,1,1,1,1,0,0,0,0,614,649,1,1,0
3172,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,715,715,1,1,0
