scope,descriptor,model,realized_loss_spearman,mean_loss_spearman
all,d20,R0-I2,-0.1529260935880773,-0.2557819197897462
all,d20,R0-I3,-0.16636427578458124,-0.2557819197897462
all,d20,R1-I1,-0.1788118463927427,-0.2557819197897462
all,d20,R1-I2,-0.171252639780513,-0.2557819197897462
all,d20,R1-I3,-0.19108296732618962,-0.2557819197897462
all,d20,R2-I1,-0.16525275894314595,-0.2557819197897462
all,d20,R2-I2,-0.17370872996353787,-0.2557819197897462
all,d20,R2-I3,-0.17620315283081997,-0.2557819197897462
all,d20,R3-I1,-0.1678112040409135,-0.2557819197897462
all,d20,R3-I2,-0.16841277718991102,-0.2557819197897462
all,d20,R3-I3,-0.1731699100316721,-0.2557819197897462
all,d20,R4-I1,-0.18491564624455734,-0.2557819197897462
all,d20,R4-I2,-0.1729786876655016,-0.2557819197897462
all,d20,R4-I3,-0.17147938402997812,-0.2557819197897462
all,boundary_margin,R0-I1,-0.23915630306419783,-0.37045312064917396
all,boundary_margin,R0-I2,-0.23248515513852352,-0.37045312064917396
all,boundary_margin,R0-I3,-0.2490311304524491,-0.37045312064917396
all,boundary_margin,R1-I1,-0.22685793051713557,-0.37045312064917396
all,boundary_margin,R1-I2,-0.23561252183722212,-0.37045312064917396
all,boundary_margin,R1-I3,-0.24586513146467492,-0.37045312064917396
all,boundary_margin,R2-I1,-0.23144143237096618,-0.37045312064917396
all,boundary_margin,R2-I2,-0.23383460037613402,-0.37045312064917396
all,boundary_margin,R2-I3,-0.2386042990721632,-0.37045312064917396
all,boundary_margin,R3-I1,-0.23425892522652547,-0.37045312064917396
all,boundary_margin,R3-I2,-0.2231067135064708,-0.37045312064917396
all,boundary_margin,R3-I3,-0.2544995912920938,-0.37045312064917396
all,boundary_margin,R4-I1,-0.24259316130427033,-0.37045312064917396
all,boundary_margin,R4-I2,-0.22075168320723768,-0.37045312064917396
all,boundary_margin,R4-I3,-0.23570444731952586,-0.37045312064917396
all,relative_boundary_margin,R0-I1,-0.18968449758486647,-0.288958133921362
all,relative_boundary_margin,R0-I2,-0.18559822524196387,-0.288958133921362
all,relative_boundary_margin,R0-I3,-0.1962955110731706,-0.288958133921362
all,relative_boundary_margin,R1-I1,-0.1698679342568034,-0.288958133921362
all,relative_boundary_margin,R1-I2,-0.18201017523049773,-0.288958133921362
all,relative_boundary_margin,R1-I3,-0.18399493375719347,-0.288958133921362
all,relative_boundary_margin,R2-I1,-0.17969245572215733,-0.288958133921362
all,relative_boundary_margin,R2-I2,-0.17915248752221113,-0.288958133921362
all,relative_boundary_margin,R2-I3,-0.17952779746424963,-0.288958133921362
all,relative_boundary_margin,R3-I1,-0.17956692995538795,-0.288958133921362
all,relative_boundary_margin,R3-I2,-0.16799852571309942,-0.288958133921362
all,relative_boundary_margin,R3-I3,-0.1983115565824077,-0.288958133921362
all,relative_boundary_margin,R4-I1,-0.18135778595631163,-0.288958133921362
all,relative_boundary_margin,R4-I2,-0.16476084741869584,-0.288958133921362
all,relative_boundary_margin,R4-I3,-0.17840124972451174,-0.288958133921362
all,boundary_gap_r1,R0-I1,-0.23915630306419783,-0.37045312064917396
all,boundary_gap_r1,R0-I2,-0.23248515513852352,-0.37045312064917396
all,boundary_gap_r1,R0-I3,-0.2490311304524491,-0.37045312064917396
all,boundary_gap_r1,R1-I1,-0.22685793051713557,-0.37045312064917396
all,boundary_gap_r1,R1-I2,-0.23561252183722212,-0.37045312064917396
all,boundary_gap_r1,R1-I3,-0.24586513146467492,-0.37045312064917396
all,boundary_gap_r1,R2-I1,-0.23144143237096618,-0.37045312064917396
all,boundary_gap_r1,R2-I2,-0.23383460037613402,-0.37045312064917396
all,boundary_gap_r1,R2-I3,-0.2386042990721632,-0.37045312064917396
all,boundary_gap_r1,R3-I1,-0.23425892522652547,-0.37045312064917396
all,boundary_gap_r1,R3-I2,-0.2231067135064708,-0.37045312064917396
all,boundary_gap_r1,R3-I3,-0.2544995912920938,-0.37045312064917396
all,boundary_gap_r1,R4-I1,-0.24259316130427033,-0.37045312064917396
all,boundary_gap_r1,R4-I2,-0.22075168320723768,-0.37045312064917396
all,boundary_gap_r1,R4-I3,-0.23570444731952586,-0.37045312064917396
all,boundary_gap_r2,R0-I1,-0.3560533330091463,-0.5774696496792288
all,boundary_gap_r2,R0-I2,-0.35110756292075085,-0.5774696496792288
all,boundary_gap_r2,R0-I3,-0.35468464483186546,-0.5774696496792288
all,boundary_gap_r2,R1-I1,-0.3561413334124545,-0.5774696496792288
all,boundary_gap_r2,R1-I2,-0.364842404020659,-0.5774696496792288
all,boundary_gap_r2,R1-I3,-0.38175463623642736,-0.5774696496792288
all,boundary_gap_r2,R2-I1,-0.3654316831948324,-0.5774696496792288
all,boundary_gap_r2,R2-I2,-0.3746960386125845,-0.5774696496792288
all,boundary_gap_r2,R2-I3,-0.3689907883918374,-0.5774696496792288
all,boundary_gap_r2,R3-I1,-0.35079341065029546,-0.5774696496792288
all,boundary_gap_r2,R3-I2,-0.3637747516941014,-0.5774696496792288
all,boundary_gap_r2,R3-I3,-0.380449141814237,-0.5774696496792288
all,boundary_gap_r2,R4-I1,-0.37289067438322915,-0.5774696496792288
all,boundary_gap_r2,R4-I2,-0.3575562284714147,-0.5774696496792288
