model,scope,metric,permutation,value
R0-I1,oracle1,harmful_fraction,20,0.8887331838565022
R0-I1,oracle1,harmful_fraction,21,0.8929372197309418
R0-I1,oracle1,harmful_fraction,22,0.89097533632287
R0-I1,oracle1,harmful_fraction,23,0.8871917040358744
R0-I1,oracle1,harmful_fraction,24,0.89027466367713
R0-I1,oracle1,harmful_fraction,25,0.8933576233183856
R0-I1,oracle1,harmful_fraction,26,0.8937780269058296
R0-I1,oracle1,harmful_fraction,27,0.8888733183856502
R0-I1,oracle1,harmful_fraction,28,0.8967208520179372
R0-I1,oracle1,harmful_fraction,29,0.8923766816143498
R0-I1,oracle1,harmful_fraction,30,0.8885930493273543
R0-I1,oracle1,harmful_fraction,31,0.8874719730941704
R0-I1,oracle1,harmful_fraction,32,0.8883127802690582
R0-I1,oracle1,harmful_fraction,33,0.8927970852017937
R0-I1,oracle1,harmful_fraction,34,0.8975616591928252
R0-I1,oracle1,harmful_fraction,35,0.8920964125560538
R0-I1,oracle1,harmful_fraction,36,0.8925168161434978
R0-I1,oracle1,harmful_fraction,37,0.8918161434977578
R0-I1,oracle1,harmful_fraction,38,0.8957399103139013
R0-I1,oracle1,harmful_fraction,39,0.8939181614349776
R0-I1,oracle1,harmful_fraction,40,0.889854260089686
R0-I1,oracle1,harmful_fraction,41,0.890554932735426
R0-I1,oracle1,harmful_fraction,42,0.8881726457399103
R0-I1,oracle1,harmful_fraction,43,0.8936378923766816
R0-I1,oracle1,harmful_fraction,44,0.8937780269058296
R0-I1,oracle1,harmful_fraction,45,0.890554932735426
R0-I1,oracle1,harmful_fraction,46,0.8888733183856502
R0-I1,oracle1,harmful_fraction,47,0.8951793721973094
R0-I1,oracle1,harmful_fraction,48,0.8892937219730942
R0-I1,oracle1,harmful_fraction,49,0.8869114349775785
R1-I1,all,recall,0,0.8100699999999827
R1-I1,all,recall,1,0.8105399999999828
R1-I1,all,recall,2,0.8109399999999811
R1-I1,all,recall,3,0.8109699999999842
R1-I1,all,recall,4,0.8105599999999841
R1-I1,all,recall,5,0.8098599999999813
R1-I1,all,recall,6,0.809719999999983
R1-I1,all,recall,7,0.8093599999999833
R1-I1,all,recall,8,0.8106099999999771
R1-I1,all,recall,9,0.8101399999999805
R1-I1,all,recall,10,0.8097899999999824
R1-I1,all,recall,11,0.8094899999999787
R1-I1,all,recall,12,0.8111699999999816
R1-I1,all,recall,13,0.8101099999999802
R1-I1,all,recall,14,0.8106899999999794
R1-I1,all,recall,15,0.8105499999999809
R1-I1,all,recall,16,0.8105299999999784
R1-I1,all,recall,17,0.8111699999999813
R1-I1,all,recall,18,0.810549999999981
R1-I1,all,recall,19,0.8108399999999801
R1-I1,all,recall,20,0.809269999999981
R1-I1,all,recall,21,0.8100599999999833
R1-I1,all,recall,22,0.8100799999999813
R1-I1,all,recall,23,0.8100599999999825
R1-I1,all,recall,24,0.8096099999999823
R1-I1,all,recall,25,0.8101699999999774
R1-I1,all,recall,26,0.8086799999999825
R1-I1,all,recall,27,0.809829999999982
R1-I1,all,recall,28,0.8110199999999801
R1-I1,all,recall,29,0.8104699999999836
R1-I1,all,recall,30,0.8088099999999824
R1-I1,all,recall,31,0.8091799999999807
R1-I1,all,recall,32,0.8100399999999816
R1-I1,all,recall,33,0.8098399999999824
R1-I1,all,recall,34,0.8108499999999819
R1-I1,all,recall,35,0.8102699999999814
R1-I1,all,recall,36,0.810089999999981
R1-I1,all,recall,37,0.8107599999999828
R1-I1,all,recall,38,0.8108799999999821
R1-I1,all,recall,39,0.8123999999999791
R1-I1,all,recall,40,0.810619999999979
R1-I1,all,recall,41,0.810269999999983
R1-I1,all,recall,42,0.8108799999999812
R1-I1,all,recall,43,0.8110999999999801
R1-I1,all,recall,44,0.8094199999999814
R1-I1,all,recall,45,0.8105599999999801
R1-I1,all,recall,46,0.8099399999999797
R1-I1,all,recall,47,0.8094499999999841
R1-I1,all,recall,48,0.8106599999999816
R1-I1,all,recall,49,0.8099499999999841
R1-I1,all,loss,0,0.1430800000000004
R1-I1,all,loss,1,0.14261
R1-I1,all,loss,2,0.1422100000000003
R1-I1,all,loss,3,0.14218000000000003
R1-I1,all,loss,4,0.14258999999999997
R1-I1,all,loss,5,0.14329000000000028
R1-I1,all,loss,6,0.1434299999999998
R1-I1,all,loss,7,0.14379000000000022
R1-I1,all,loss,8,0.14253999999999947
R1-I1,all,loss,9,0.14301
R1-I1,all,loss,10,0.1433599999999998
R1-I1,all,loss,11,0.1436599999999992
R1-I1,all,loss,12,0.1419800000000002
R1-I1,all,loss,13,0.14303999999999997
R1-I1,all,loss,14,0.1424599999999996
R1-I1,all,loss,15,0.14259999999999995
R1-I1,all,loss,16,0.14261999999999947
R1-I1,all,loss,17,0.14197999999999933
R1-I1,all,loss,18,0.14259999999999942
R1-I1,all,loss,19,0.14230999999999963
R1-I1,all,loss,20,0.14387999999999934
R1-I1,all,loss,21,0.14309
R1-I1,all,loss,22,0.14306999999999967
R1-I1,all,loss,23,0.14308999999999936
R1-I1,all,loss,24,0.14354000000000017
R1-I1,all,loss,25,0.14297999999999939
R1-I1,all,loss,26,0.14446999999999965
