model,scope,observable,quintile,queries,observable_min,observable_max,observable_mean,mean_loss,harmful_rate
R3-I1,all,relative_g9_12_pq,2,2000,0.020245293818570192,0.028856573652061245,0.02428685634601131,0.10885,0.7575
R3-I1,all,relative_g9_12_pq,3,2000,0.028856923545658584,0.041905258796142014,0.03473521288533706,0.08915000000000001,0.6765
R3-I1,all,relative_g9_12_pq,4,2000,0.04190713608127837,0.43755008779196364,0.06490543548724897,0.06814999999999999,0.586
R3-I1,all,count_1pct,0,1383,1.0,1.0,1.0,0.06919739696312363,0.5661605206073753
R3-I1,all,count_1pct,1,2429,2.0,2.0,2.0,0.08847262247838615,0.6821737340469329
R3-I1,all,count_1pct,2,2442,3.0,3.0,3.0,0.10585585585585586,0.7477477477477478
R3-I1,all,count_1pct,3,3746,4.0,12.0,4.91350774159103,0.13075280298985587,0.801388147357181
R3-I1,all,count_2pct,0,1103,1.0,2.0,1.7615593834995467,0.0615593834995467,0.5349048050770625
R3-I1,all,count_2pct,1,2849,3.0,4.0,3.5503685503685505,0.08711828711828712,0.6784836784836785
R3-I1,all,count_2pct,2,1689,5.0,5.0,5.0,0.106453522794553,0.7471876850207223
R3-I1,all,count_2pct,3,1472,6.0,6.0,6.0,0.11752717391304347,0.7880434782608695
R3-I1,all,count_2pct,4,2887,7.0,19.0,8.41946657429858,0.13508832698302736,0.8046414963630066
R3-I1,all,count_5pct,0,1659,1.0,7.0,5.600361663652803,0.06799276672694395,0.5816757082579868
