model,scope,observable,quintile,queries,observable_min,observable_max,observable_mean,mean_loss,harmful_rate
R1-I1,all,count_2pct,1,1308,3.0,3.0,3.0,0.08295107033639144,0.6590214067278287
R1-I1,all,count_2pct,2,3343,4.0,5.0,4.5070296141190545,0.10176488184265631,0.7385581812743045
R1-I1,all,count_2pct,3,1365,6.0,6.0,6.0,0.11809523809523811,0.7794871794871795
R1-I1,all,count_2pct,4,2903,7.0,19.0,8.398553220806063,0.13775404753703066,0.8143300034447124
R1-I1,all,count_5pct,0,1729,1.0,7.0,5.577212261422788,0.07420474262579525,0.6286871023713129
R1-I1,all,count_5pct,1,1445,8.0,9.0,8.52318339100346,0.09480968858131487,0.7038062283737024
R1-I1,all,count_5pct,2,2488,10.0,12.0,10.984324758842444,0.10803858520900322,0.7520096463022508
R1-I1,all,count_5pct,3,1990,13.0,15.0,13.936683417085428,0.1214070351758794,0.7824120603015076
R1-I1,all,count_5pct,4,2348,16.0,37.0,19.091141396933562,0.1280238500851789,0.7687393526405452
R1-I1,oracle1,g10_11_pq,0,1426,0.0,88.0,38.97265385310747,0.15568022440392706,0.906030855539972
R1-I1,oracle1,g10_11_pq,1,1428,88.0859375,220.890625,149.0243357596945,0.1369747899159664,0.8802521008403361
R1-I1,oracle1,g10_11_pq,2,1428,220.921875,409.66796875,308.4103973132222,0.13095238095238096,0.8669467787114846
R1-I1,oracle1,g10_11_pq,3,1426,409.859375,758.93359375,562.9180190847432,0.1132538569424965,0.7973352033660589
R1-I1,oracle1,g10_11_pq,4,1428,759.046875,7209.7421875,1338.0062225085346,0.07668067226890757,0.615546218487395
R1-I1,oracle1,g9_12_pq,0,1427,27.125,627.16796875,405.17554737457294,0.1761737911702873,0.9467414155571128
R1-I1,oracle1,g9_12_pq,1,1427,627.22265625,992.6171875,809.7009073750658,0.14183601962158376,0.8941836019621584
R1-I1,oracle1,g9_12_pq,2,1427,992.765625,1433.92578125,1209.7978382177425,0.12424667133847232,0.8514365802382621
R1-I1,oracle1,g9_12_pq,3,1427,1434.08203125,2117.29296875,1729.9841115265856,0.10343377715487037,0.7680448493342676
R1-I1,oracle1,g9_12_pq,4,1428,2117.44140625,14375.46484375,3146.547300365459,0.06785714285714285,0.6057422969187675
R1-I1,oracle1,relative_g10_11_pq,0,1427,0.0,0.00209266379233595,0.0009429512636992371,0.1505956552207428,0.9018920812894183
R1-I1,oracle1,relative_g10_11_pq,1,1427,0.002095060638307942,0.005107237618890262,0.003537955429666684,0.14036440084092502,0.885073580939033
R1-I1,oracle1,relative_g10_11_pq,2,1428,0.005107911827192818,0.009480506353074463,0.007178023681073506,0.12836134453781514,0.8494397759103641
R1-I1,oracle1,relative_g10_11_pq,3,1426,0.009493506836840233,0.017071342505524435,0.012673298722337445,0.11697054698457224,0.814866760168303
R1-I1,oracle1,relative_g10_11_pq,4,1428,0.01707168082275839,0.2799566920439074,0.03035719818042357,0.0772408963585434,0.6148459383753502
R1-I1,oracle1,relative_g9_12_pq,0,1427,0.0006871741996998963,0.015208196867482699,0.010121699631128247,0.1723896285914506,0.9432375613174492
R1-I1,oracle1,relative_g9_12_pq,1,1427,0.015210231184926457,0.022947551805437054,0.01909334485875104,0.14309740714786265,0.8948843728100911
R1-I1,oracle1,relative_g9_12_pq,2,1427,0.022951959204507478,0.032303187092165196,0.027342036321525844,0.12620882971268396,0.8472319551506657
R1-I1,oracle1,relative_g9_12_pq,3,1427,0.032306180351392176,0.046663500914779533,0.03854897922210399,0.10252277505255782,0.7848633496846531
R1-I1,oracle1,relative_g9_12_pq,4,1428,0.046664117609828575,0.5061207829651327,0.07134874631678538,0.06932773109243698,0.59593837535014
R1-I1,oracle1,count_1pct,0,1163,1.0,1.0,1.0,0.07953568357695615,0.6319862424763543
R1-I1,oracle1,count_1pct,1,2007,2.0,2.0,2.0,0.10259093173891382,0.7698056801195815
R1-I1,oracle1,count_1pct,2,1762,3.0,3.0,3.0,0.12661748013620885,0.8501702610669694
R1-I1,oracle1,count_1pct,3,2204,4.0,10.0,4.797186932849365,0.16066243194192378,0.9187840290381125
R1-I1,oracle1,count_2pct,0,975,1.0,2.0,1.7302564102564102,0.06625641025641026,0.5733333333333334
R1-I1,oracle1,count_2pct,1,1104,3.0,3.0,3.0,0.09184782608695653,0.7237318840579711
R1-I1,oracle1,count_2pct,2,1311,4.0,4.0,4.0,0.11060259344012205,0.8093058733790999
R1-I1,oracle1,count_2pct,3,2154,5.0,6.0,5.418291550603528,0.13245125348189418,0.8704735376044568
R1-I1,oracle1,count_2pct,4,1592,7.0,16.0,8.172738693467336,0.17543969849246235,0.9478643216080402
R1-I1,oracle1,count_5pct,0,1091,1.0,6.0,4.8102658111824015,0.07011915673693858,0.6122823098075161
R1-I1,oracle1,count_5pct,1,1127,7.0,8.0,7.525288376220053,0.09547471162377995,0.7293700088731144
