scope,descriptor,target,bin,queries,descriptor_mean,target_mean
all,relative_boundary_margin,between_rotation_variance,8,1000,0.019234959674977438,0.001311377777777778
all,relative_boundary_margin,between_rotation_variance,9,1000,0.03894001836783721,0.0010106666666666669
all,boundary_gap_r1,overall_mean_loss,0,990,16.47979797979798,0.12572390572390574
all,boundary_gap_r1,overall_mean_loss,1,999,64.89689689689689,0.12817484150817485
all,boundary_gap_r1,overall_mean_loss,2,1003,120.86739780658026,0.12483881688268528
all,boundary_gap_r1,overall_mean_loss,3,1006,187.31908548707753,0.11763419483101394
all,boundary_gap_r1,overall_mean_loss,4,995,264.30452261306533,0.1136214405360134
all,boundary_gap_r1,overall_mean_loss,5,999,359.40840840840843,0.10819486152819487
all,boundary_gap_r1,overall_mean_loss,6,1006,479.9900596421471,0.10192842942345927
all,boundary_gap_r1,overall_mean_loss,7,999,645.2632632632633,0.09461461461461462
all,boundary_gap_r1,overall_mean_loss,8,1003,917.2313060817547,0.08217347956131607
all,boundary_gap_r1,overall_mean_loss,9,1000,1761.07,0.053733333333333334
all,boundary_gap_r1,harmful_rotation_frequency,0,990,16.47979797979798,0.8212121212121212
all,boundary_gap_r1,harmful_rotation_frequency,1,999,64.89689689689689,0.8558558558558559
all,boundary_gap_r1,harmful_rotation_frequency,2,1003,120.86739780658026,0.8360917248255234
all,boundary_gap_r1,harmful_rotation_frequency,3,1006,187.31908548707753,0.8077534791252484
all,boundary_gap_r1,harmful_rotation_frequency,4,995,264.30452261306533,0.8231155778894472
all,boundary_gap_r1,harmful_rotation_frequency,5,999,359.40840840840843,0.8062062062062063
all,boundary_gap_r1,harmful_rotation_frequency,6,1006,479.9900596421471,0.790258449304175
all,boundary_gap_r1,harmful_rotation_frequency,7,999,645.2632632632633,0.746946946946947
all,boundary_gap_r1,harmful_rotation_frequency,8,1003,917.2313060817547,0.6859421734795613
all,boundary_gap_r1,harmful_rotation_frequency,9,1000,1761.07,0.45620000000000005
all,boundary_gap_r1,within_rotation_initialization_variance,0,990,16.47979797979798,0.003277216610549944
all,boundary_gap_r1,within_rotation_initialization_variance,1,999,64.89689689689689,0.0032281170058947838
all,boundary_gap_r1,within_rotation_initialization_variance,2,1003,120.86739780658026,0.003150105239836047
all,boundary_gap_r1,within_rotation_initialization_variance,3,1006,187.31908548707753,0.0031433620499226864
