scope,L,fraction,policy,selected_queries,recall,recall_gain,exact_distance_evals_per_query,recovery_fraction,recall_gain_per_exact_eval,random_mean_recall,random_recall_p025,random_recall_p975,gap_vs_random_recall,recovery_vs_random,selector_efficiency,exceeds_random_p975,random_std
shard0,16,0.25,GAP,625,0.87876,0.03152,4.0,0.30649552703228317,0.00788,0.8703091999999998,0.868979,0.871261,0.008450800000000203,0.08217425126410154,0.31379684227724847,True,
shard0,16,0.25,ORACLE-QUERY,625,0.89724,0.05,4.0,0.48619214313496695,0.0125,0.8703091999999998,0.868979,0.871261,0.026930800000000255,0.26187086736678583,1.0,True,
shard0,16,0.25,FULL-LOSS-SELECTOR,625,0.89588,0.04864,4.0,0.47296771684169586,0.01216,0.8703091999999998,0.868979,0.871261,0.025570800000000227,0.24864644107351444,0.9495002005139092,True,
shard0,16,0.25,RANDOM,625,0.8703091999999998,0.02306919999999979,4.0,0.22432127576818153,0.0057672999999999475,0.8703091999999998,0.868979,0.871261,,,,,0.0006534657874391985
shard0,16,0.5,GAP,1250,0.90408,0.05684,8.0,0.5527032283158304,0.007105,0.8931967999999999,0.891634,0.8947259999999999,0.010883200000000093,0.10582652664333035,0.3747245482591476,True,
shard0,16,0.5,ORACLE-QUERY,1250,0.92224,0.075,8.0,0.7292882147024504,0.009375,0.8931967999999999,0.891634,0.8947259999999999,0.029043200000000047,0.2824115130299499,1.0,True,
shard0,16,0.5,FULL-LOSS-SELECTOR,1250,0.92024,0.073,8.0,0.7098405289770516,0.009125,0.8931967999999999,0.891634,0.8947259999999999,0.027043200000000045,0.2629638273045512,0.9311370647862495,True,
shard0,16,0.5,RANDOM,1250,0.8931967999999999,0.04595679999999991,8.0,0.4468767016725001,0.005744599999999989,0.8931967999999999,0.891634,0.8947259999999999,,,,,0.000795374100405564
shard0,32,0.1,GAP,250,0.86324,0.016,3.2,0.15558148580318942,0.005,0.8575304000000001,0.856737,0.85848,0.00570959999999987,0.05551925320886689,0.37004199720018255,True,
shard0,32,0.1,ORACLE-QUERY,250,0.87296,0.02572,3.2,0.25009723842862697,0.0080375,0.8575304000000001,0.856737,0.85848,0.015429599999999821,0.15003500583430399,1.0,True,
shard0,32,0.1,FULL-LOSS-SELECTOR,250,0.87288,0.02564,3.2,0.24931933099961104,0.008012499999999999,0.8575304000000001,0.856737,0.85848,0.015349599999999852,0.14925709840528834,0.9948151604707853,True,
shard0,32,0.1,RANDOM,250,0.8575304000000001,0.010290400000000144,3.2,0.10006223259432268,0.003215750000000045,0.8575304000000001,0.856737,0.85848,,,,,0.00044580631750489546
shard0,32,0.25,GAP,625,0.88384,0.0366,8.0,0.3558926487747958,0.004575,0.8730400000000001,0.8715769999999999,0.874223,0.01079999999999981,0.105017502917151,0.3609625668449154,True,
shard0,32,0.25,ORACLE-QUERY,625,0.90296,0.05572,8.0,0.5418125243096071,0.006965,0.8730400000000001,0.8715769999999999,0.874223,0.029919999999999836,0.2909373784519626,1.0,True,
shard0,32,0.25,FULL-LOSS-SELECTOR,625,0.90288,0.05564,8.0,0.5410346168805912,0.006955,0.8730400000000001,0.8715769999999999,0.874223,0.029839999999999867,0.290159471022947,0.9973262032085571,True,
shard0,32,0.25,RANDOM,625,0.8730400000000001,0.025800000000000156,8.0,0.2508751458576445,0.0032250000000000195,0.8730400000000001,0.8715769999999999,0.874223,,,,,0.0006775594945736294
shard0,32,0.5,GAP,1250,0.9122,0.06496,16.0,0.631660832360949,0.00406,0.8986452,0.89683,0.900402,0.013554799999999978,0.1318047452353168,0.4424641257654692,True,
shard0,32,0.5,ORACLE-QUERY,1250,0.92928,0.08204,16.0,0.7977440684558538,0.0051275,0.8986452,0.89683,0.900402,0.030634799999999962,0.2978879813302213,1.0,True,
shard0,32,0.5,FULL-LOSS-SELECTOR,1250,0.92928,0.08204,16.0,0.7977440684558538,0.0051275,0.8986452,0.89683,0.900402,0.030634799999999962,0.2978879813302213,1.0,True,
