model,scope,condition,metric,queries,mean,std,median,p05,p95
R0-I1,all,N4,loss,10000,0.10074600000000002,0.00037650707265279366,0.10074,0.100168,0.1014005
R0-I1,all,N4,recall,10000,0.8524039999999999,0.0003765070726527927,0.85241,0.8517495,0.8529819999999999
R0-I1,all,N4,inversions,10000,5.711709,0.017473611243786817,5.71105,5.68578,5.740530000000001
R0-I1,all,N4,agreement,10000,0.8785654999999999,0.0003656884333733176,0.878525,0.8780185,0.8792325
R0-I1,all,N4,harmful_fraction,10000,0.7051510000000001,0.0023304525506667377,0.70525,0.701495,0.7088099999999999
R0-I1,all,N_distance,loss,10000,0.11310470000000002,0.0007323622427087944,0.1132,0.111799,0.1141335
R0-I1,all,N_distance,recall,10000,0.8400452999999999,0.0007323622427087965,0.83995,0.8390164999999999,0.8413510000000001
R0-I1,all,N_distance,inversions,10000,6.7528559999999995,0.057746270717840976,6.75635,6.674375,6.84888
R0-I1,all,N_distance,agreement,10000,0.8658823999999998,0.00076069627860456,0.865855,0.8648315000000001,0.8671719999999999
R0-I1,all,N_distance,harmful_fraction,10000,0.7550380000000001,0.0035789728225632655,0.75495,0.74999,0.760915
R0-I1,oracle1,observed,loss,7136,0.1140835201793722,0.0,0.1140835201793722,0.1140835201793722,0.1140835201793722
R0-I1,oracle1,observed,recall,7136,0.8859164798206275,5.579080615598709e-16,0.885916479820628,0.885916479820628,0.885916479820628
R0-I1,oracle1,observed,inversions,7136,5.039237668161435,0.0,5.039237668161435,5.039237668161435,5.039237668161435
R0-I1,oracle1,observed,agreement,7136,0.8859164798206275,5.579080615598709e-16,0.885916479820628,0.885916479820628,0.885916479820628
R0-I1,oracle1,observed,harmful_fraction,7136,0.7860145739910311,2.2316322462394835e-16,0.7860145739910314,0.7860145739910314,0.7860145739910314
R0-I1,oracle1,N0,loss,7136,0.1551258408071749,0.0008504354375716773,0.15504484304932736,0.1538165639013453,0.1566886210762332
R0-I1,oracle1,N0,recall,7136,0.8448741591928252,0.0008504354375716795,0.8449551569506727,0.8433113789237668,0.8461834360986548
R0-I1,oracle1,N0,inversions,7136,9.19635369955157,0.08322989964654717,9.205367152466367,9.050854820627803,9.31107062780269
R0-I1,oracle1,N0,agreement,7136,0.8448741591928252,0.0008504354375716795,0.8449551569506727,0.8433113789237668,0.8461834360986548
R0-I1,oracle1,N0,harmful_fraction,7136,0.8910832399103138,0.003211648606774669,0.8912556053811659,0.8864349775784753,0.8958940582959641
R0-I1,oracle1,N1,loss,7136,0.15263046524663676,0.0007983191815382735,0.15260650224215247,0.15138382847533632,0.15396720852017937
R0-I1,oracle1,N1,recall,7136,0.8473695347533634,0.0007983191815382779,0.8473934977578476,0.8460327914798206,0.8486161715246637
R0-I1,oracle1,N1,inversions,7136,8.12628923766816,0.06372608890439513,8.128223094170403,8.006095852017937,8.211210762331838
R0-I1,oracle1,N1,agreement,7136,0.8473695347533634,0.0007983191815382779,0.8473934977578476,0.8460327914798206,0.8486161715246637
R0-I1,oracle1,N1,harmful_fraction,7136,0.8839910313901346,0.0030987291617121148,0.8843189461883407,0.8787766255605381,0.889027466367713
R0-I1,oracle1,N2,loss,7136,0.12381712443946188,0.0006413985122994261,0.12380184977578475,0.1228545403587444,0.12496216367713005
R0-I1,oracle1,N2,recall,7136,0.8761828755605383,0.0006413985122994223,0.8761981502242153,0.87503783632287,0.8771454596412556
R0-I1,oracle1,N2,inversions,7136,6.010552130044845,0.036692897080690894,6.009459080717489,5.954792600896861,6.070403587443946
R0-I1,oracle1,N2,agreement,7136,0.8761828755605383,0.0006413985122994223,0.8761981502242153,0.87503783632287,0.8771454596412556
R0-I1,oracle1,N2,harmful_fraction,7136,0.8122926008968611,0.003652224210945208,0.8120095291479821,0.8064742152466368,0.8182525224215247
R0-I1,oracle1,N3,loss,7136,0.11638845291479819,0.0005144226243404416,0.11637471973094171,0.11566563901345292,0.11728068946188341
R0-I1,oracle1,N3,recall,7136,0.8836115470852018,0.000514422624340437,0.8836252802690583,0.8827193105381166,0.884334360986547
R0-I1,oracle1,N3,inversions,7136,5.231422365470853,0.023962514062240023,5.231852578475337,5.1946468609865475,5.2728559417040355
R0-I1,oracle1,N3,agreement,7136,0.8836115470852018,0.000514422624340437,0.8836252802690583,0.8827193105381166,0.884334360986547
R0-I1,oracle1,N3,harmful_fraction,7136,0.7950686659192823,0.0037948555002733308,0.7947729820627802,0.7895109304932736,0.8008968609865471
R0-I1,oracle1,N4,loss,7136,0.11553951793721975,0.0004035590346417747,0.1155759529147982,0.1148822869955157,0.11608954596412556
R0-I1,oracle1,N4,recall,7136,0.88446048206278,0.0004035590346417692,0.8844240470852018,0.8839104540358744,0.8851177130044843
R0-I1,oracle1,N4,inversions,7136,5.212600896860987,0.019561060096940603,5.210902466367713,5.181985706278026,5.247099215246637
R0-I1,oracle1,N4,agreement,7136,0.88446048206278,0.0004035590346417692,0.8844240470852018,0.8839104540358744,0.8851177130044843
R0-I1,oracle1,N4,harmful_fraction,7136,0.7898570627802691,0.0024721564283624203,0.789517937219731,0.7860005605381166,0.7941423766816144
R0-I1,oracle1,N_distance,loss,7136,0.12917544843049328,0.0009352359038402629,0.12921804932735426,0.12763382847533633,0.13076093049327353
R0-I1,oracle1,N_distance,recall,7136,0.8708245515695068,0.0009352359038402606,0.8707819506726457,0.8692390695067265,0.8723661715246637
R0-I1,oracle1,N_distance,inversions,7136,6.285235426008968,0.06469175488887692,6.281460201793722,6.173038116591928,6.382833520179372
R0-I1,oracle1,N_distance,agreement,7136,0.8708245515695068,0.0009352359038402606,0.8707819506726457,0.8692390695067265,0.8723661715246637
R0-I1,oracle1,N_distance,harmful_fraction,7136,0.8369744955156952,0.0042648110692054715,0.8370235426008968,0.8308506165919283,0.843224495515695
R1-I1,all,observed,loss,10000,0.10763000000000006,4.184310461699032e-17,0.10763000000000002,0.10763000000000002,0.10763000000000002
R1-I1,all,observed,recall,10000,0.84552,0.0,0.84552,0.84552,0.84552
R1-I1,all,observed,inversions,10000,6.252799999999999,8.926528984957934e-16,6.2528,6.2528,6.2528
R1-I1,all,observed,agreement,10000,0.8712700000000001,1.1158161231197418e-16,0.8712700000000002,0.8712700000000002,0.8712700000000002
R1-I1,all,observed,harmful_fraction,10000,0.7336999999999999,1.1158161231197418e-16,0.7337,0.7337,0.7337
R1-I1,all,N0,loss,10000,0.142874,0.0006671331701142323,0.14291,0.1418725,0.14397149999999997
R1-I1,all,N0,recall,10000,0.8102760000000002,0.000667133170114236,0.81024,0.8091785,0.8112775000000001
R1-I1,all,N0,inversions,10000,10.267103000000002,0.07583642212157704,10.260200000000001,10.13834,10.39784
R1-I1,all,N0,agreement,10000,0.8337676,0.0007315807155976316,0.8337399999999999,0.8326975,0.8348925
R1-I1,all,N0,harmful_fraction,10000,0.8358600000000002,0.003145720196641073,0.83575,0.8298949999999999,0.8415050000000001
R1-I1,all,N1,loss,10000,0.15252469999999999,0.0005982119063078601,0.15250999999999998,0.15161650000000002,0.15361149999999998
R1-I1,all,N1,recall,10000,0.8006253,0.000598211906307857,0.80064,0.7995385,0.8015335
R1-I1,all,N1,inversions,10000,10.75897,0.055779851363927234,10.76565,10.67422,10.853315
R1-I1,all,N1,agreement,10000,0.8203699,0.0006308796088066897,0.820445,0.81942,0.8213545
R1-I1,all,N1,harmful_fraction,10000,0.8500230000000001,0.0030063856282011706,0.85005,0.8454,0.855215
R1-I1,all,N2,loss,10000,0.11683379999999997,0.0005766794183210906,0.11679500000000001,0.115885,0.1177215
R1-I1,all,N2,recall,10000,0.8363162000000002,0.000576679418321087,0.836355,0.8354285,0.837265
R1-I1,all,N2,inversions,10000,7.5384340000000005,0.03424288533344695,7.5390999999999995,7.48836,7.593265000000001
R1-I1,all,N2,agreement,10000,0.8604164999999999,0.0005610872832224413,0.86041,0.8595395,0.8613225
R1-I1,all,N2,harmful_fraction,10000,0.7591650000000001,0.003194546331269318,0.75905,0.754385,0.76362
R1-I1,all,N3,loss,10000,0.1085289,0.0004554892918055205,0.10853,0.1077365,0.109222
