model,group,count,signed_mean,mae,std,variance,abs_p50,abs_p90,abs_p95,distance_min,distance_max,distance_mean
R2-I1,rank_16,10000,371.05035233154297,1103.2338358276368,1354.7827171007402,1835436.210554864,903.3115234375,2313.887890625,2778.6492187499994,,,
R2-I1,rank_17,10000,389.3323515136719,1104.1623728027344,1342.6431483769068,1802690.6238834525,925.794921875,2280.2156250000007,2761.304296874999,,,
R2-I1,rank_18,10000,362.43378854980466,1110.3080881591798,1363.0263577821668,1857840.8520089192,914.958984375,2310.37734375,2776.38671875,,,
R2-I1,rank_19,10000,359.84613760986326,1114.5810210083007,1370.9614786909196,1879535.376054393,925.623046875,2289.3816406250007,2825.7624999999975,,,
R2-I1,rank_20,10000,361.8848525024414,1106.7081326782227,1356.6721296146798,1840559.2672732305,916.638671875,2292.3310546875,2781.2662109374955,,,
R2-I1,rank_21,10000,347.21075736083986,1102.246969567871,1361.8884367413152,1854740.1141297035,909.91015625,2296.1250000000005,2801.148437499998,,,
R2-I1,rank_22,10000,356.2299404296875,1134.935102734375,1390.2896474869333,1932905.303909341,949.798828125,2338.2289062500004,2834.523437499999,,,
R2-I1,rank_23,10000,352.37579807128907,1120.1918708251953,1380.0313398114606,1904486.4988618153,937.060546875,2316.5255859375,2811.355664062499,,,
R2-I1,rank_24,10000,336.8811060424805,1116.7545034057616,1382.8595408958975,1912300.509846812,928.67578125,2320.6281250000006,2852.6376953124995,,,
R2-I1,rank_25,10000,357.87912087402344,1103.6303451904296,1363.6412709319875,1859517.5157890064,912.359375,2283.5478515625,2810.4071289062495,,,
R2-I1,rank_26,10000,322.59541401367187,1113.3333167480469,1375.7398930822671,1892660.253418008,930.2861328125,2286.065625,2791.0521484375,,,
R2-I1,rank_27,10000,336.67282685546877,1138.3585606445313,1409.931908349385,1987907.9861817383,947.49609375,2354.9875,2843.803515624999,,,
R2-I1,rank_28,10000,352.33447368164065,1133.880265966797,1399.6964332785549,1959150.105332708,937.650390625,2347.4859375,2865.5974609374953,,,
R2-I1,rank_29,10000,334.2962987792969,1119.5909931152344,1386.3875691249682,1922070.4918242386,928.453125,2312.957421875,2815.0796874999996,,,
R2-I1,rank_30,10000,339.9459074707031,1131.5045343261718,1394.4666681140934,1944537.288481221,931.7578125,2345.7414062500006,2837.4521484374995,,,
R2-I1,rank31_40,100000,322.6131216040039,1128.6647860571288,1401.523760957558,1964268.8525286182,933.9296875,2341.346484375001,2844.2296874999975,,,
R2-I1,rank41_100,600000,278.3773645072428,1164.5011348409016,1461.9237863618878,2137221.1571306786,957.21875,2427.28203125,2953.566992187499,,,
R2-I1,rank101plus,9353047,-62.47297961322019,1417.705173416499,1838.531630761035,3380198.557308831,1143.578125,2972.5390625,3662.703125,,,
R2-I1,rank1_5,50000,483.3622428662109,1038.9909785107423,1222.1727358521982,1493706.1962604474,868.529296875,2144.46328125,2587.968359374999,,,
R2-I1,rank6_10,50000,416.05028138183593,1077.0112666552734,1302.5933476584876,1696749.4293641455,896.650390625,2222.9160156249995,2676.8957031249997,,,
R2-I1,rank1_10,100000,449.70626212402345,1058.0011225830078,1263.471621308534,1596360.537852015,882.150390625,2183.7541015625015,2634.5173828125,,,
R2-I1,rank11_20,100000,381.9381450292969,1102.5780001953126,1348.235935851699,1817740.1387219068,913.9296875,2290.67265625,2777.4740234374985,,,
R2-I1,rank21plus,10153047,-34.53749078990308,1396.9771383155387,1813.1625711011643,3287558.509242185,1126.09375,2929.7359375000015,3612.21875,,,
R2-I1,pooled_distance_quantile_1,1035268,475.5306884290205,940.757756831953,1082.4383726680157,1171672.8306241822,794.455078125,1932.47265625,2318.0128906249993,433.0,49672.0,37625.55852301047
R2-I1,pooled_distance_quantile_2,1035290,287.5203447863944,1073.595868741337,1322.3064878637254,1748494.4478465004,900.505859375,2218.805078125,2663.3927734374997,49673.0,61402.0,55946.7919037178
R2-I1,pooled_distance_quantile_3,1035331,195.10693455915307,1165.6403667945324,1457.1838482396831,2123384.767570612,977.2421875,2412.33984375,2895.47265625,61403.0,70165.0,65925.25303308797
R2-I1,pooled_distance_quantile_4,1035212,116.56365906965192,1245.3290216385026,1567.4007408342338,2456745.082367705,1042.8203125,2576.3515625,3088.721484374999,70166.0,77806.0,74045.2269332272
R2-I1,pooled_distance_quantile_5,1035391,43.764473713915805,1320.4681060856478,1667.6099170658106,2780922.83549624,1104.7734375,2728.578125,3283.3046875,77807.0,85049.0,81439.4697974002
R2-I1,pooled_distance_quantile_6,1035306,-32.11800608346711,1396.9828068645888,1766.6057628831204,3120895.921451852,1166.0234375,2893.04296875,3477.693359375,85050.0,92403.0,88696.07551100834
R2-I1,pooled_distance_quantile_7,1035278,-119.66339447290969,1480.0914041928834,1869.8171553807454,3496216.1945561427,1234.6328125,3065.4632812500004,3689.1875,92404.0,100401.0,96316.9905841716
R2-I1,pooled_distance_quantile_8,1035250,-216.32655943612653,1577.4031542501812,1990.5859272349733,3962432.333705918,1311.78125,3266.4781249999996,3940.727343749999,100402.0,109950.0,104982.62373629559
R2-I1,pooled_distance_quantile_9,1035382,-350.20917936266517,1708.0035770765041,2144.19952940588,4597591.621904397,1418.4375,3536.66328125,4279.3421874999985,109951.0,123642.0,116224.07811223298
R2-I1,pooled_distance_quantile_10,1035339,-658.4871933024473,2000.2680425731935,2485.1960258050485,6176199.286677208,1636.046875,4161.71875,5088.503124999999,123643.0,365484.0,139658.15859346552
R3-I1,rank_1,10000,531.3777861450195,993.538580871582,1120.7016562964668,1255972.202425644,853.39013671875,2021.7824218750002,2415.2481445312496,,,
R3-I1,rank_2,10000,507.4083413208008,1029.9977073364257,1200.004461225723,1440010.7069616378,865.6015625,2120.6546875,2573.1792968749996,,,
R3-I1,rank_3,10000,482.57814332275393,1032.04640201416,1213.510902813261,1472608.7112466558,876.50390625,2115.8064453125,2565.2906249999996,,,
R3-I1,rank_4,10000,435.7304739501953,1037.219282055664,1240.5231131773112,1538897.5943271283,858.2705078125,2150.51328125,2589.222363281249,,,
R3-I1,rank_5,10000,439.49952087402346,1057.6341083740235,1260.4106797526972,1588635.0816346563,887.7109375,2167.0734375000006,2607.601367187498,,,
R3-I1,rank_6,10000,427.83460013427737,1076.4615365600587,1297.214295143981,1682764.9275258954,890.11328125,2220.3515625,2690.2115234374983,,,
R3-I1,rank_7,10000,411.24431323242186,1066.9860744628907,1291.4252470118727,1667779.1686196765,884.71484375,2210.2578125000005,2672.903125,,,
R3-I1,rank_8,10000,417.7145274169922,1078.8374916748046,1307.032482296626,1708333.9097784802,894.7939453125,2253.1996093750004,2734.3630859375,,,
R3-I1,rank_9,10000,371.2606897216797,1077.2678190185547,1318.6407301999507,1738813.375342259,876.3310546875,2246.9281250000013,2734.188671874999,,,
R3-I1,rank_10,10000,399.0084137207031,1097.1902142089843,1326.4751588200727,1759536.346966737,924.8271484375,2233.68359375,2737.558007812498,,,
R3-I1,rank_11,10000,374.9290804443359,1068.7571664794923,1303.9824056553803,1700370.114258793,887.861328125,2218.08984375,2666.010742187499,,,
R3-I1,rank_12,10000,380.20620860595704,1084.8023706176757,1330.1129180624748,1769200.3747966718,899.298828125,2256.845703125,2712.1124999999997,,,
R3-I1,rank_13,10000,378.7197812011719,1080.1354430175782,1326.850285305193,1760531.6796144717,890.216796875,2245.350781250001,2739.8832031249985,,,
R3-I1,rank_14,10000,362.87524073486327,1092.2287533325195,1344.112436604912,1806638.242235994,909.751953125,2273.928125,2756.16875,,,
R3-I1,rank_15,10000,379.18671239013673,1087.1314170776368,1331.6809090161867,1773374.043438177,891.751953125,2263.4871093750003,2748.851171874999,,,
R3-I1,rank_16,10000,356.5008598510742,1104.7457794799805,1356.8290891429194,1840985.1771444045,922.310546875,2273.1105468750006,2774.075390624999,,,
R3-I1,rank_17,10000,369.29907866210937,1101.1054693847657,1349.8074151679552,1821980.0580423966,915.7548828125,2303.5164062500003,2784.6285156249974,,,
R3-I1,rank_18,10000,376.8158355834961,1116.983239782715,1367.5887152018067,1870298.8939473282,924.001953125,2332.113671875,2801.759374999999,,,
R3-I1,rank_19,10000,358.6917092651367,1111.8591079956054,1363.6820202671506,1859628.6523998973,931.0390625,2290.392968750001,2756.689257812498,,,
R3-I1,rank_20,10000,344.3501837402344,1099.098048876953,1359.9045258883025,1849340.3195314885,903.572265625,2278.0406250000005,2791.10546875,,,
R3-I1,rank_21,10000,363.7308802368164,1103.1712220336915,1357.4687294206585,1842721.351354937,912.837890625,2293.3777343750003,2760.895117187499,,,
R3-I1,rank_22,10000,344.90980552978516,1108.0633394165038,1365.7907795761653,1865384.4535752693,918.75390625,2318.9597656250003,2759.4164062499985,,,
R3-I1,rank_23,10000,350.2113476928711,1114.9806064819336,1377.3798577570547,1897175.2725548444,919.556640625,2300.01796875,2814.3292968749975,,,
R3-I1,rank_24,10000,366.74859897460937,1118.3420355957032,1381.032008919172,1907249.409659324,924.478515625,2342.548828125,2849.6464843749995,,,
R3-I1,rank_25,10000,337.1878597167969,1118.0952786621094,1381.6350983727796,1908915.5450555603,923.283203125,2307.16796875,2802.94609375,,,
R3-I1,rank_26,10000,330.00508276367185,1126.0731876464845,1396.7788168457032,1950991.0631888825,932.25,2346.74921875,2847.5546874999995,,,
R3-I1,rank_27,10000,323.7045603515625,1125.6564817382812,1394.0317026508048,1943324.387995502,942.025390625,2323.308203125,2870.594726562499,,,
R3-I1,rank_28,10000,315.73294107666015,1106.0187526000977,1379.4498004540164,1902881.7519726257,907.984375,2269.2410156250003,2808.879492187499,,,
