model,scope,condition,metric,observed,n0_mean,condition_mean,denominator,gap_closure,invalid_draw_denominators,draw_mean,draw_std,draw_median,draw_p05,draw_p95
R1-I1,all,N_distance,loss,0.10763000000000002,0.142874,0.11981649999999998,0.035243999999999984,0.65422483259562,0,0.6541014924389049,0.020017826627083554,0.6543019254200519,0.6232727731127302,0.6804792301495576
R1-I1,all,N0,inversions,6.2528,10.267103000000002,10.267103000000002,4.014303000000003,0.0,0,0.0,0.0,0.0,0.0,0.0
R1-I1,all,N1,inversions,6.2528,10.267103000000002,10.75897,4.014303000000003,-0.12252861829313758,0,-0.122902779075241,0.024298726076318486,-0.1231263735180961,-0.15808270869318547,-0.08287235755706393
R1-I1,all,N2,inversions,6.2528,10.267103000000002,7.5384340000000005,4.014303000000003,0.6797366815609086,0,0.6796237399838323,0.010478017234517495,0.6800872246471823,0.662123081854458,0.6966039899501638
R1-I1,all,N3,inversions,6.2528,10.267103000000002,6.414840000000001,4.014303000000003,0.9596343375176212,0,0.959619852709979,0.0055231743352982775,0.9596355292491869,0.9507365123178155,0.9684762720046691
R1-I1,all,N4,inversions,6.2528,10.267103000000002,6.417235,4.014303000000003,0.9590377208696005,0,0.9590326699660122,0.004368835345048548,0.9589244545616745,0.9522663741730786,0.965401270252128
R1-I1,all,N_distance,inversions,6.2528,10.267103000000002,7.4693629999999995,4.014303000000003,0.6969429064024317,0,0.6968551274693859,0.01491619610648138,0.6976159311936732,0.6751236326272257,0.7250208261262019
R1-I1,oracle1,N0,loss,0.1227017937219731,0.15995585762331838,0.15995585762331838,0.03725406390134528,0.0,0,0.0,0.0,0.0,0.0,0.0
R1-I1,oracle1,N1,loss,0.1227017937219731,0.15995585762331838,0.17280759529147982,0.03725406390134528,-0.3449754556226376,0,-0.3457036454169565,0.03797993409229863,-0.34488130076828416,-0.4095815362286646,-0.2885623316338801
R1-I1,oracle1,N2,loss,0.1227017937219731,0.15995585762331838,0.13257174887892376,0.03725406390134528,0.7350636649175274,0,0.734886891602308,0.01997295227594327,0.7340646928550456,0.7042757751891147,0.7702299451253578
R1-I1,oracle1,N3,loss,0.1227017937219731,0.15995585762331838,0.12385874439461882,0.03725406390134528,0.9689443096541223,0,0.9689566124539806,0.014343364139933618,0.9672855439796817,0.9443021346469623,0.9931508151961523
R1-I1,oracle1,N4,loss,0.1227017937219731,0.15995585762331838,0.12398878923766814,0.03725406390134528,0.9654535537625315,0,0.9653903938707218,0.013162405007478298,0.9639844237275973,0.9471944169981336,0.9891526315041014
R1-I1,oracle1,N_distance,loss,0.1227017937219731,0.15995585762331838,0.13559669282511208,0.03725406390134528,0.6538659745340336,0,0.6536932256608611,0.02186452888801165,0.6544183855376242,0.6130050973472789,0.685457352954131
R1-I1,oracle1,N0,inversions,5.737107623318385,9.5443091367713,9.5443091367713,3.807201513452915,0.0,0,0.0,0.0,0.0,0.0,0.0
R1-I1,oracle1,N1,inversions,5.737107623318385,9.5443091367713,9.968168441704037,3.807201513452915,-0.11133093518559799,0,-0.1117487211202712,0.02660243545702199,-0.11301943161096972,-0.15511973280050254,-0.06398846163208191
R1-I1,oracle1,N2,inversions,5.737107623318385,9.5443091367713,6.833849495515694,3.807201513452915,0.7119296500797442,0,0.7118170040881568,0.011469124482973127,0.712598472606689,0.6932438112614827,0.7301223883598583
R1-I1,oracle1,N3,inversions,5.737107623318385,9.5443091367713,5.852662556053812,3.807201513452915,0.9696483276949989,0,0.969632056432932,0.006354005010331047,0.9693216277013177,0.9594166453378286,0.9817953839821353
R1-I1,oracle1,N4,inversions,5.737107623318385,9.5443091367713,5.865896860986547,3.807201513452915,0.9661722035954547,0,0.9661685466029263,0.004778494250505561,0.9665830026057998,0.9581866407164045,0.9744163913783253
R1-I1,oracle1,N_distance,inversions,5.737107623318385,9.5443091367713,6.875507286995518,3.807201513452915,0.7009878096406121,0,0.7008501231588269,0.01730312841363644,0.7002283636967988,0.6749577104781099,0.7313642117418284
R2-I1,all,N0,loss,0.10537,0.1430091,0.1430091,0.037639099999999995,0.0,0,0.0,0.0,0.0,0.0,0.0
R2-I1,all,N1,loss,0.10537,0.1430091,0.15249460000000004,0.037639099999999995,-0.2520118706345273,0,-0.2524784697292247,0.02983406020982526,-0.25184836399861077,-0.2982602926391103,-0.20658083027261243
R2-I1,all,N2,loss,0.10537,0.1430091,0.11575609999999999,0.037639099999999995,0.724060883496152,0,0.7239970702361863,0.012137982947586666,0.7255730335971418,0.7006383532524528,0.7428780828374064
R2-I1,all,N3,loss,0.10537,0.1430091,0.10676889999999999,0.037639099999999995,0.9628338615960536,0,0.9627860717521499,0.013520745884413429,0.9644368895989299,0.9381707005201124,0.9815478350266087
R2-I1,all,N4,loss,0.10537,0.1430091,0.1062218,0.037639099999999995,0.9773692782239746,0,0.9773364640569697,0.0099449734918333,0.9781661155006869,0.9588103984060479,0.9940070357573211
