model,scope,descriptor,target,bin,queries,descriptor_mean,target_mean
R0-I1,all,d20,observed_loss,9,1000,86839.98,0.07490000000000001
R0-I1,all,d20,null_mean_loss,0,1000,20494.517,0.188506
R0-I1,all,d20,null_mean_loss,1,1000,34074.952,0.157974
R0-I1,all,d20,null_mean_loss,2,1000,41462.541,0.14962999999999999
R0-I1,all,d20,null_mean_loss,3,1000,47206.387,0.14147
R0-I1,all,d20,null_mean_loss,4,999,52503.382382382384,0.14152952952952955
R0-I1,all,d20,null_mean_loss,5,1001,57339.380619380616,0.13203196803196804
R0-I1,all,d20,null_mean_loss,6,1000,62047.988,0.124416
R0-I1,all,d20,null_mean_loss,7,1000,67306.13,0.121804
R0-I1,all,d20,null_mean_loss,8,1000,73931.457,0.114488
R0-I1,all,d20,null_mean_loss,9,1000,86839.98,0.09846200000000002
R0-I1,all,d20,excess_loss,0,1000,20494.517,-0.061806
R0-I1,all,d20,excess_loss,1,1000,34074.952,-0.047973999999999996
R0-I1,all,d20,excess_loss,2,1000,41462.541,-0.04082999999999999
R0-I1,all,d20,excess_loss,3,1000,47206.387,-0.04046999999999999
R0-I1,all,d20,excess_loss,4,999,52503.382382382384,-0.03812612612612612
R0-I1,all,d20,excess_loss,5,1001,57339.380619380616,-0.03383016983016983
R0-I1,all,d20,excess_loss,6,1000,62047.988,-0.033415999999999994
R0-I1,all,d20,excess_loss,7,1000,67306.13,-0.028803999999999996
