model,scope,descriptor,target,queries,spearman
R3-I1,oracle1,relative_boundary_margin,observed_loss,7136,-0.2968124061158259
R3-I1,oracle1,relative_boundary_margin,null_mean_loss,7136,-0.4374784901077929
R3-I1,oracle1,relative_boundary_margin,excess_loss,7136,-0.00451050176143865
R3-I1,oracle1,relative_span_r2,observed_loss,7136,-0.4233658264336255
R3-I1,oracle1,relative_span_r2,null_mean_loss,7136,-0.6917452691948403
R3-I1,oracle1,relative_span_r2,excess_loss,7136,0.02897437888967982
R3-I1,oracle1,local_distance_concentration,observed_loss,7136,-0.20576865223760948
R3-I1,oracle1,local_distance_concentration,null_mean_loss,7136,-0.3734949587327182
R3-I1,oracle1,local_distance_concentration,excess_loss,7136,0.047418085925149026
R3-I1,oracle1,candidate_count,observed_loss,7136,0.01327526993507388
R3-I1,oracle1,candidate_count,null_mean_loss,7136,0.01548790419184794
R3-I1,oracle1,candidate_count,excess_loss,7136,0.014305427796151614
R3-I1,oracle1,d1,observed_loss,7136,0.05112727072225661
R3-I1,oracle1,d1,null_mean_loss,7136,0.04381193740827837
R3-I1,oracle1,d1,excess_loss,7136,0.02984413718300766
R3-I1,oracle1,dk,observed_loss,7136,-0.0333007652157425
R3-I1,oracle1,dk,null_mean_loss,7136,-0.12629095028417545
R3-I1,oracle1,dk,excess_loss,7136,0.06155830301201214
R3-I1,oracle1,dk_plus_1,observed_loss,7136,-0.04332452300607761
R3-I1,oracle1,dk_plus_1,null_mean_loss,7136,-0.14107729587335613
R3-I1,oracle1,dk_plus_1,excess_loss,7136,0.06212294933573999
R3-I1,oracle1,d20,observed_loss,7136,-0.0642761156099508
R3-I1,oracle1,d20,null_mean_loss,7136,-0.1811466211496319
R3-I1,oracle1,d20,excess_loss,7136,0.0689404794567054
R3-I1,oracle1,oracle_recall,observed_loss,7136,
R3-I1,oracle1,oracle_recall,null_mean_loss,7136,
R3-I1,oracle1,oracle_recall,excess_loss,7136,
R4-I1,all,boundary_gap_r1,observed_loss,10000,-0.24259316130427033
R4-I1,all,boundary_gap_r1,null_mean_loss,10000,-0.35476059619747824
R4-I1,all,boundary_gap_r1,excess_loss,10000,0.0088942631922427
R4-I1,all,boundary_gap_r2,observed_loss,10000,-0.37289067438322915
R4-I1,all,boundary_gap_r2,null_mean_loss,10000,-0.5982461160815478
R4-I1,all,boundary_gap_r2,excess_loss,10000,0.05304114335568517
R4-I1,all,boundary_gap_r5,observed_loss,10000,-0.3526028442030664
R4-I1,all,boundary_gap_r5,null_mean_loss,10000,-0.6437544715991456
R4-I1,all,boundary_gap_r5,excess_loss,10000,0.12259899360843172
R4-I1,all,relative_boundary_margin,observed_loss,10000,-0.18135778595631163
R4-I1,all,relative_boundary_margin,null_mean_loss,10000,-0.24977715928181626
R4-I1,all,relative_boundary_margin,excess_loss,10000,-0.01574410894616728
R4-I1,all,relative_span_r2,observed_loss,10000,-0.2752634632859917
R4-I1,all,relative_span_r2,null_mean_loss,10000,-0.42568279331639364
R4-I1,all,relative_span_r2,excess_loss,10000,0.011025030060151732
R4-I1,all,local_distance_concentration,observed_loss,10000,-0.07326935477452715
R4-I1,all,local_distance_concentration,null_mean_loss,10000,-0.1518773218874184
R4-I1,all,local_distance_concentration,excess_loss,10000,0.03013100176420422
R4-I1,all,candidate_count,observed_loss,10000,-0.12614006429906377
R4-I1,all,candidate_count,null_mean_loss,10000,-0.15981497827261387
R4-I1,all,candidate_count,excess_loss,10000,0.00536509004732389
R4-I1,all,d1,observed_loss,10000,-0.10562051618970918
R4-I1,all,d1,null_mean_loss,10000,-0.1607170531660372
R4-I1,all,d1,excess_loss,10000,0.028195221815489002
R4-I1,all,dk,observed_loss,10000,-0.16797689841765753
R4-I1,all,dk,null_mean_loss,10000,-0.2822239672884471
