model,exact_rank,count,signed_mean,mae,variance,std,p05,p95
R3-I1,17,10000,369.29907866210937,1101.1054693847657,1821980.0580423966,1349.8074151679552,-1944.4548828125,2507.3146484374997
R3-I1,18,10000,376.8158355834961,1116.983239782715,1870298.8939473282,1367.5887152018067,-1928.8582031249996,2537.3791015624993
R3-I1,19,10000,358.6917092651367,1111.8591079956054,1859628.6523998973,1363.6820202671506,-1944.1615234375,2509.148242187499
R3-I1,20,10000,344.3501837402344,1099.098048876953,1849340.3195314885,1359.9045258883025,-1930.2294921875,2495.0162109374996
R3-I1,21,10000,363.7308802368164,1103.1712220336915,1842721.351354937,1357.4687294206585,-1923.5523437499999,2517.426953125
R3-I1,22,10000,344.90980552978516,1108.0633394165038,1865384.4535752693,1365.7907795761653,-1987.1146484375,2510.206445312498
R3-I1,23,10000,350.2113476928711,1114.9806064819336,1897175.2725548444,1377.3798577570547,-1956.9802734375,2523.618164062498
R3-I1,24,10000,366.74859897460937,1118.3420355957032,1907249.409659324,1381.032008919172,-1942.960546875,2593.5722656249995
R3-I1,25,10000,337.1878597167969,1118.0952786621094,1908915.5450555603,1381.6350983727796,-1978.6537109375,2510.5658203124985
R3-I1,26,10000,330.00508276367185,1126.0731876464845,1950991.0631888825,1396.7788168457032,-1995.0441406249997,2569.312890625
R3-I1,27,10000,323.7045603515625,1125.6564817382812,1943324.387995502,1394.0317026508048,-2007.953125,2545.4582031249997
R3-I1,28,10000,315.73294107666015,1106.0187526000977,1902881.7519726257,1379.4498004540164,-1995.9779296874997,2487.1792968749996
R3-I1,29,10000,333.57794208984376,1123.88466015625,1915941.4539177981,1384.175369639916,-2026.0279296874999,2491.178515624999
R3-I1,30,10000,299.8345770019531,1102.5341676269531,1900399.6028193394,1378.5498187658434,-2026.63173828125,2493.6310546874984
R4-I1,1,10000,536.6674758666992,1004.3193672729492,1309974.908355153,1144.5413528375254,-1410.2869140625,2358.820703124994
R4-I1,2,10000,485.70280400390624,1031.2291856445313,1482956.3453898667,1217.766950360317,-1532.5998046875,2404.2631835937477
R4-I1,3,10000,459.56296809082033,1037.2321948486328,1511265.138208141,1229.3352424005996,-1636.76396484375,2385.3296874999996
R4-I1,4,10000,431.50009204101565,1052.2375019042968,1590053.2945135657,1260.9731537640148,-1703.3359375,2429.8611328124994
R4-I1,5,10000,413.4806094726562,1046.9565745117188,1597567.3754210805,1263.9491190000808,-1721.8316406249999,2419.678515624998
R4-I1,6,10000,413.0815786743164,1057.074137561035,1635880.8916476353,1279.0155947632677,-1739.562109375,2427.595898437496
R4-I1,7,10000,412.6141118896484,1082.3122752685547,1720455.081582,1311.6611916123768,-1783.5537109374998,2499.638671875
R4-I1,8,10000,390.35425772705076,1078.8464503051757,1729997.7996920536,1315.2938073647476,-1837.8095703125,2490.0495117187497
R4-I1,9,10000,404.69800002441406,1074.100350708008,1682799.343424569,1297.2275603858286,-1780.75,2424.798828125
R4-I1,10,10000,381.86522868652344,1082.511001245117,1723658.4377441765,1312.8817302956793,-1824.3972656249998,2439.208105468749
R4-I1,11,10000,375.3083762939453,1077.6552464111328,1718896.4770011464,1311.0669231588242,-1828.2607421875,2443.0458984374995
R4-I1,12,10000,381.2258459472656,1102.7967208496093,1810673.7608265998,1345.6127826483366,-1930.0546875,2485.639453125
R4-I1,13,10000,369.24074921875,1093.420472265625,1790861.8266626324,1338.2308570133303,-1879.83828125,2474.1476562499997
R4-I1,14,10000,370.3103300170898,1094.479118688965,1818437.8357390724,1348.4946554358576,-1905.2357421875,2520.531054687499
R4-I1,15,10000,367.46329033203125,1096.3681291992189,1800195.381940975,1341.7135990743236,-1910.8884765624998,2481.754296875
R4-I1,16,10000,336.42107947998045,1088.5706448120118,1810704.8695627972,1345.624341918203,-1936.8980468749999,2470.413867187499
R4-I1,17,10000,377.1785624633789,1106.859474963379,1840074.844693127,1356.4935844644187,-1876.5193359375,2546.2572265624985
R4-I1,18,10000,348.7470299438477,1100.0806951782226,1836033.9924801597,1355.0033182542984,-1936.3390625,2513.5705078124997
R4-I1,19,10000,347.1316557861328,1103.356818286133,1869967.6445101234,1367.4676027278026,-1929.438671875,2496.2533203124967
R4-I1,20,10000,371.5097248291016,1122.545170239258,1879013.3649387269,1370.7710840759396,-1907.9447265625,2522.7150390624997
R4-I1,21,10000,346.8384016357422,1116.9420294677734,1913368.1374311303,1383.2455087334029,-2046.4751953124999,2502.2964843749996
R4-I1,22,10000,313.1032616455078,1105.9908686767578,1878445.9241421176,1370.5640897608976,-1993.62890625,2474.3501953124983
R4-I1,23,10000,347.41769604492185,1121.0916902832032,1896138.1722684433,1377.003330521914,-1961.2742187499998,2538.935546874997
R4-I1,24,10000,334.51037189941405,1113.1043537353517,1890354.3836684413,1374.9015905396434,-1976.5958984375,2525.0695312499993
R4-I1,25,10000,362.8655956787109,1119.241066772461,1896140.044749346,1377.0040104332834,-1934.57890625,2554.5408203124985
R4-I1,26,10000,344.4962678710938,1110.7064750976563,1874418.3185353302,1369.0939772474826,-1933.55703125,2502.4664062499996
R4-I1,27,10000,321.5004007202148,1120.4278362670898,1934169.7631805611,1390.744319844795,-1961.9443359375,2525.078124999999
R4-I1,28,10000,341.41033447265625,1120.6568404296875,1906584.1339197936,1380.7911261011905,-1990.33720703125,2495.3085937499986
R4-I1,29,10000,333.2170844604492,1119.8866946166993,1948642.3838620635,1395.9378151844958,-2001.2710937499999,2517.7761718749985
R4-I1,30,10000,351.1487154296875,1143.1724629882813,1983545.2749136963,1408.3839231238392,-2024.6253906249997,2575.0167968749997
