ef_search,feature,direction,threshold,query_fraction,count,mean_loss,harmful_fraction
128,random_inversion_rate,ge,0.03125,0.6826,6826,0.11737474362730736,0.7853794315851157
128,random_inversion_rate,ge,0.03515625,0.5033,5033,0.11881581561692828,0.7862110073514802
128,random_inversion_rate,ge,0.037109375,0.4189,4189,0.12005251850083552,0.7882549534495106
128,random_inversion_rate,ge,0.0390625,0.3359,3359,0.12045251562965169,0.7901161059839238
128,random_inversion_rate,ge,0.04296875,0.2022,2022,0.12329376854599407,0.7977250247279921
128,random_inversion_rate,ge,0.046875,0.1082,1082,0.12624768946395565,0.8068391866913124
128,candidate_count,ge,1215.0,0.9001,9001,0.11378735696033775,0.7752471947561382
128,candidate_count,ge,1507.8000000000002,0.8,8000,0.11392500000000001,0.77475
128,candidate_count,ge,1690.0,0.7006,7006,0.1135883528404225,0.7723379960034257
128,candidate_count,ge,1833.6000000000004,0.6,6000,0.11301666666666667,0.7708333333333334
128,candidate_count,ge,1946.0,0.5006,5006,0.112904514582501,0.7680783060327607
128,candidate_count,ge,2036.0,0.4011,4011,0.1129144851657941,0.7643979057591623
128,candidate_count,ge,2124.300000000001,0.3,3000,0.11326666666666667,0.7633333333333333
128,candidate_count,ge,2210.0,0.2002,2002,0.11343656343656344,0.7622377622377622
128,candidate_count,ge,2315.0,0.1003,1003,0.11365902293120637,0.7637088733798604
