scope,descriptor,target,bin,queries,descriptor_mean,target_mean
all,boundary_margin,within_subset_variability,8,1003,917.2313060817547,0.002289428012259518
all,boundary_margin,within_subset_variability,9,1000,1761.07,0.0017822222222222224
all,relative_boundary_margin,harmful_frequency_all,0,1000,0.0003672422282549991,0.7454444444444445
all,relative_boundary_margin,harmful_frequency_all,1,1000,0.0014392132925435271,0.774
all,relative_boundary_margin,harmful_frequency_all,2,1000,0.0026426771286504397,0.7542222222222222
all,relative_boundary_margin,harmful_frequency_all,3,1000,0.004038555311424545,0.7523333333333335
all,relative_boundary_margin,harmful_frequency_all,4,1000,0.0056685650856067625,0.7411111111111112
all,relative_boundary_margin,harmful_frequency_all,5,1000,0.007738833167126009,0.7477777777777779
all,relative_boundary_margin,harmful_frequency_all,6,1000,0.010243564800408158,0.7271111111111112
all,relative_boundary_margin,harmful_frequency_all,7,1000,0.013725590861628334,0.679
all,relative_boundary_margin,harmful_frequency_all,8,1000,0.019234959674977438,0.6656666666666667
all,relative_boundary_margin,harmful_frequency_all,9,1000,0.03894001836783721,0.46855555555555556
all,relative_boundary_margin,harmful_subset_frequency,0,1000,0.0003672422282549991,0.781
all,relative_boundary_margin,harmful_subset_frequency,1,1000,0.0014392132925435271,0.8113333333333332
all,relative_boundary_margin,harmful_subset_frequency,2,1000,0.0026426771286504397,0.793
all,relative_boundary_margin,harmful_subset_frequency,3,1000,0.004038555311424545,0.7893333333333332
all,relative_boundary_margin,harmful_subset_frequency,4,1000,0.0056685650856067625,0.786
all,relative_boundary_margin,harmful_subset_frequency,5,1000,0.007738833167126009,0.7903333333333332
all,relative_boundary_margin,harmful_subset_frequency,6,1000,0.010243564800408158,0.7713333333333332
all,relative_boundary_margin,harmful_subset_frequency,7,1000,0.013725590861628334,0.7206666666666667
all,relative_boundary_margin,harmful_subset_frequency,8,1000,0.019234959674977438,0.706
all,relative_boundary_margin,harmful_subset_frequency,9,1000,0.03894001836783721,0.4653333333333334
all,relative_boundary_margin,overall_mean_loss,0,1000,0.0003672422282549991,0.1137888888888889
all,relative_boundary_margin,overall_mean_loss,1,1000,0.0014392132925435271,0.11787777777777779
all,relative_boundary_margin,overall_mean_loss,2,1000,0.0026426771286504397,0.11285555555555557
all,relative_boundary_margin,overall_mean_loss,3,1000,0.004038555311424545,0.1126
all,relative_boundary_margin,overall_mean_loss,4,1000,0.0056685650856067625,0.109
all,relative_boundary_margin,overall_mean_loss,5,1000,0.007738833167126009,0.10611111111111111
all,relative_boundary_margin,overall_mean_loss,6,1000,0.010243564800408158,0.09998888888888889
all,relative_boundary_margin,overall_mean_loss,7,1000,0.013725590861628334,0.0910888888888889
all,relative_boundary_margin,overall_mean_loss,8,1000,0.019234959674977438,0.08582222222222222
all,relative_boundary_margin,overall_mean_loss,9,1000,0.03894001836783721,0.0551888888888889
all,relative_boundary_margin,between_subset_variability,0,1000,0.0003672422282549991,0.001066172839506173
all,relative_boundary_margin,between_subset_variability,1,1000,0.0014392132925435271,0.001140246913580247
all,relative_boundary_margin,between_subset_variability,2,1000,0.0026426771286504397,0.0010323456790123457
all,relative_boundary_margin,between_subset_variability,3,1000,0.004038555311424545,0.0011651851851851853
all,relative_boundary_margin,between_subset_variability,4,1000,0.0056685650856067625,0.0011382716049382717
all,relative_boundary_margin,between_subset_variability,5,1000,0.007738833167126009,0.0010296296296296297
all,relative_boundary_margin,between_subset_variability,6,1000,0.010243564800408158,0.0009669135802469137
all,relative_boundary_margin,between_subset_variability,7,1000,0.013725590861628334,0.0010081481481481484
all,relative_boundary_margin,between_subset_variability,8,1000,0.019234959674977438,0.0009370370370370371
all,relative_boundary_margin,between_subset_variability,9,1000,0.03894001836783721,0.0006938271604938273
all,relative_boundary_margin,within_subset_variability,0,1000,0.0003672422282549991,0.0029651851851851853
all,relative_boundary_margin,within_subset_variability,1,1000,0.0014392132925435271,0.0030170370370370373
all,relative_boundary_margin,within_subset_variability,2,1000,0.0026426771286504397,0.002894814814814815
all,relative_boundary_margin,within_subset_variability,3,1000,0.004038555311424545,0.002931851851851852
all,relative_boundary_margin,within_subset_variability,4,1000,0.0056685650856067625,0.0028703703703703703
all,relative_boundary_margin,within_subset_variability,5,1000,0.007738833167126009,0.002834814814814815
all,relative_boundary_margin,within_subset_variability,6,1000,0.010243564800408158,0.0027051851851851855
all,relative_boundary_margin,within_subset_variability,7,1000,0.013725590861628334,0.002648888888888889
all,relative_boundary_margin,within_subset_variability,8,1000,0.019234959674977438,0.0024696296296296298
all,relative_boundary_margin,within_subset_variability,9,1000,0.03894001836783721,0.0019081481481481486
all,boundary_gap_r1,harmful_frequency_all,0,990,16.47979797979798,0.7757575757575758
all,boundary_gap_r1,harmful_frequency_all,1,999,64.89689689689689,0.8005783561339116
all,boundary_gap_r1,harmful_frequency_all,2,1003,120.86739780658026,0.7772238839038441
all,boundary_gap_r1,harmful_frequency_all,3,1006,187.31908548707753,0.7531477799867463
all,boundary_gap_r1,harmful_frequency_all,4,995,264.30452261306533,0.7622557230597432
all,boundary_gap_r1,harmful_frequency_all,5,999,359.40840840840843,0.7405182960738517
all,boundary_gap_r1,harmful_frequency_all,6,1006,479.9900596421471,0.7117296222664016
all,boundary_gap_r1,harmful_frequency_all,7,999,645.2632632632633,0.6697808920031142
all,boundary_gap_r1,harmful_frequency_all,8,1003,917.2313060817547,0.6318821313836269
all,boundary_gap_r1,harmful_frequency_all,9,1000,1761.07,0.4331111111111111
all,boundary_gap_r1,harmful_subset_frequency,0,990,16.47979797979798,0.8151515151515152
all,boundary_gap_r1,harmful_subset_frequency,1,999,64.89689689689689,0.8398398398398398
all,boundary_gap_r1,harmful_subset_frequency,2,1003,120.86739780658026,0.8235294117647058
all,boundary_gap_r1,harmful_subset_frequency,3,1006,187.31908548707753,0.7892644135188867
all,boundary_gap_r1,harmful_subset_frequency,4,995,264.30452261306533,0.80536013400335
all,boundary_gap_r1,harmful_subset_frequency,5,999,359.40840840840843,0.782449115782449
all,boundary_gap_r1,harmful_subset_frequency,6,1006,479.9900596421471,0.7574552683896619
all,boundary_gap_r1,harmful_subset_frequency,7,999,645.2632632632633,0.7157157157157157
all,boundary_gap_r1,harmful_subset_frequency,8,1003,917.2313060817547,0.6660019940179461
all,boundary_gap_r1,harmful_subset_frequency,9,1000,1761.07,0.4203333333333334
all,boundary_gap_r1,overall_mean_loss,0,990,16.47979797979798,0.12180695847362515
all,boundary_gap_r1,overall_mean_loss,1,999,64.89689689689689,0.12302302302302302
all,boundary_gap_r1,overall_mean_loss,2,1003,120.86739780658026,0.11930874044533069
all,boundary_gap_r1,overall_mean_loss,3,1006,187.31908548707753,0.11066931742876078
all,boundary_gap_r1,overall_mean_loss,4,995,264.30452261306533,0.10968174204355109
all,boundary_gap_r1,overall_mean_loss,5,999,359.40840840840843,0.1050606161717273
all,boundary_gap_r1,overall_mean_loss,6,1006,479.9900596421471,0.09670863706648995
all,boundary_gap_r1,overall_mean_loss,7,999,645.2632632632633,0.0894894894894895
all,boundary_gap_r1,overall_mean_loss,8,1003,917.2313060817547,0.07879694250581588
all,boundary_gap_r1,overall_mean_loss,9,1000,1761.07,0.050022222222222225
all,boundary_gap_r1,between_subset_variability,0,990,16.47979797979798,0.001160493827160494
all,boundary_gap_r1,between_subset_variability,1,999,64.89689689689689,0.0010726776158874927
all,boundary_gap_r1,between_subset_variability,2,1003,120.86739780658026,0.001162438610095639
all,boundary_gap_r1,between_subset_variability,3,1006,187.31908548707753,0.0011123383157843067
all,boundary_gap_r1,between_subset_variability,4,995,264.30452261306533,0.0010762454246541348
all,boundary_gap_r1,between_subset_variability,5,999,359.40840840840843,0.001093933439612452
all,boundary_gap_r1,between_subset_variability,6,1006,479.9900596421471,0.00098348182509879
all,boundary_gap_r1,between_subset_variability,7,999,645.2632632632633,0.0009332789579703162
all,boundary_gap_r1,between_subset_variability,8,1003,917.2313060817547,0.0008941078000566205
all,boundary_gap_r1,between_subset_variability,9,1000,1761.07,0.0006901234567901237
all,boundary_gap_r1,within_subset_variability,0,990,16.47979797979798,0.003094650205761317
all,boundary_gap_r1,within_subset_variability,1,999,64.89689689689689,0.003109776443109776
all,boundary_gap_r1,within_subset_variability,2,1003,120.86739780658026,0.002955577711310513
all,boundary_gap_r1,within_subset_variability,3,1006,187.31908548707753,0.0028989028790221633
all,boundary_gap_r1,within_subset_variability,4,995,264.30452261306533,0.002811836962590732
all,boundary_gap_r1,within_subset_variability,5,999,359.40840840840843,0.0028554480406332264
all,boundary_gap_r1,within_subset_variability,6,1006,479.9900596421471,0.002748693027023047
all,boundary_gap_r1,within_subset_variability,7,999,645.2632632632633,0.0027034441849256665
all,boundary_gap_r1,within_subset_variability,8,1003,917.2313060817547,0.002289428012259518
all,boundary_gap_r1,within_subset_variability,9,1000,1761.07,0.0017822222222222224
all,boundary_gap_r2,harmful_frequency_all,0,999,286.019019019019,0.8666444221999778
all,boundary_gap_r2,harmful_frequency_all,1,999,525.1321321321321,0.825047269491714
all,boundary_gap_r2,harmful_frequency_all,2,999,708.6876876876877,0.8089200311422533
all,boundary_gap_r2,harmful_frequency_all,3,999,894.944944944945,0.7778890001112223
all,boundary_gap_r2,harmful_frequency_all,4,1002,1084.3243512974052,0.7417387447327568
all,boundary_gap_r2,harmful_frequency_all,5,1002,1292.809381237525,0.7149035262807718
all,boundary_gap_r2,harmful_frequency_all,6,998,1543.8587174348697,0.6810287241148966
all,boundary_gap_r2,harmful_frequency_all,7,1001,1860.2857142857142,0.6389166389166389
all,boundary_gap_r2,harmful_frequency_all,8,1001,2350.8471528471528,0.5657675657675657
all,boundary_gap_r2,harmful_frequency_all,9,1000,3801.014,0.43488888888888894
all,boundary_gap_r2,harmful_subset_frequency,0,999,286.019019019019,0.9042375709042375
all,boundary_gap_r2,harmful_subset_frequency,1,999,525.1321321321321,0.8638638638638638
all,boundary_gap_r2,harmful_subset_frequency,2,999,708.6876876876877,0.8535201868535202
